feature,mean_importance
home.dest_lexington,-1.1102230246251566e-17
home.dest_il,-1.1102230246251566e-17
home.dest_newark,-1.1102230246251566e-17
ticket_11769,-1.1102230246251566e-17
home.dest_portland,-1.1102230246251566e-17
ticket_220845,-1.1102230246251566e-17
ticket_2315,-1.1102230246251566e-17
home.dest_dc,-1.1102230246251566e-17
ticket_line,-1.1102230246251566e-17
ticket_29106,-1.1102230246251566e-17
ticket_oq,-1.1102230246251566e-17
ticket_sc,-1.1102230246251566e-17
name_bertram,-1.1102230246251566e-17
home.dest_ohio,-1.1102230246251566e-17
home.dest_norway,-1.1102230246251566e-17
ticket_2926,-1.1102230246251566e-17
name_edward,-1.1102230246251566e-17
ticket_236853,-1.1102230246251566e-17
home.dest_wi,-1.1102230246251566e-17
name_patrick,-1.1102230246251566e-17
name_ernest,-1.1102230246251566e-17
name_heilmann,-1.1102230246251566e-17
home.dest_vancouver,-1.1102230246251566e-17
ticket_2123,-8.326672684688674e-18
home.dest_washington,-8.326672684688674e-18
name_martin,-8.326672684688674e-18
ticket_244367,-8.326672684688674e-18
ticket_250651,-8.326672684688674e-18
ticket_347080,-8.326672684688674e-18
name_cacic,-8.326672684688674e-18
name_davies,-8.326672684688674e-18
ticket_2908,-8.326672684688674e-18
ticket_315093,-8.326672684688674e-18
ticket_33638,-8.326672684688674e-18
ticket_34651,-8.326672684688674e-18
ticket_19950,-8.326672684688674e-18
ticket_17761,-8.326672684688674e-18
ticket_347082,-8.326672684688674e-18
ticket_35281,-8.326672684688674e-18
ticket_17757,-8.326672684688674e-18
home.dest_india,-8.326672684688674e-18
home.dest_middlesex,-8.326672684688674e-18
home.dest_montreal,-8.326672684688674e-18
home.dest_moscow,-8.326672684688674e-18
home.dest_finland,-8.326672684688674e-18
home.dest_essex,-8.326672684688674e-18
home.dest_detroit,-8.326672684688674e-18
name_johannes,-8.326672684688674e-18
home.dest_bernardsville,-8.326672684688674e-18
name_helen,-8.326672684688674e-18
ticket_o2,-8.326672684688674e-18
ticket_aq,-8.326672684688674e-18
name_hocking,-8.326672684688674e-18
ticket_6607,-8.326672684688674e-18
name_allison,-8.326672684688674e-18
ticket_36973,-8.326672684688674e-18
ticket_soton,-8.326672684688674e-18
home.dest_rotherfield,-8.326672684688674e-18
ticket_347077,-8.326672684688674e-18
ticket_113781,-8.326672684688674e-18
name_svensson,-8.326672684688674e-18
ticket_13050,-8.326672684688674e-18
home.dest_san,-8.326672684688674e-18
