,AutoML_solution,task,trainings_id,dataset_name,dataset_size_in_mb,dataset_rows,dataset_cols,missing_values,duplicated_rows,duplicated_cols,outliers,runtime,runtime_limit,failed,:balanced_accuracy,:rooted_mean_squared_error,relative_:balanced_accuracy,relative_:rooted_mean_squared_error
41,:gama,:tabular_classification,65870da59de6496c97bfdf40,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,43.456633333333336,48,0,0.59322914552466,,0.8944346072064416,
42,:tpot,:tabular_classification,65870da59de6496c97bfdf40,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,49.57445,48,0,0.6080076485103565,,0.9167167297434592,
43,:mljar,:tabular_classification,65870da59de6496c97bfdf40,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,50.03021666666667,48,0,0.6213049469624945,,0.9367655827164971,
44,:flaml,:tabular_classification,65870da59de6496c97bfdf40,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,54.353766666666665,48,0,0.5,,0.7538694060752792,
45,:evalml,:tabular_classification,64e1c3d4a6afb7d6a10a47d7,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,2.6875,60,0,0.538629891147597,,0.8116177640880889,
46,:pycaret,:tabular_classification,64e1c3d4a6afb7d6a10a47d7,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,4.16415,60,0,0.6636497067714954,,1.0,
47,:autokeras,:tabular_classification,64e1c3d4a6afb7d6a10a47d7,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,8.21915,60,0,0.5013192612137203,,0.7553973972994342,
48,:lama,:tabular_classification,64e1c3d4a6afb7d6a10a47d7,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,10.40535,60,0,0.5995015649535855,,0.9033403598865795,
49,:autogluon,:tabular_classification,64e1c3d4a6afb7d6a10a47d7,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,16.30115,60,0,0.5873615843953297,,0.8850476062932507,
50,:mljar,:tabular_classification,64e1c3d4a6afb7d6a10a47d7,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,47.840349999999994,60,0,0.6221146635616848,,0.937414206943797,
51,:gama,:tabular_classification,64e1c3d4a6afb7d6a10a47d7,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,54.27845,60,0,0.5391966927670302,,0.812471831548151,
52,:tpot,:tabular_classification,64e1c3d4a6afb7d6a10a47d7,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,60.70235,60,0,0.6155183574930833,,0.9274747675056466,
53,:flaml,:tabular_classification,64e1c3d4a6afb7d6a10a47d7,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,68.39375,60,0,0.5,,0.7534095094118042,
54,:evalml,:tabular_classification,6501a95487d6e0440cfb86ca,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,2.7307833333333336,240,0,0.538629891147597,,0.801539915202291,
55,:pycaret,:tabular_classification,6501a95487d6e0440cfb86ca,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,3.6436,240,0,0.6719938470084283,,1.0,
56,:lama,:tabular_classification,6501a95487d6e0440cfb86ca,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,11.6211,240,0,0.5995015649535855,,0.8921235925335287,
57,:autokeras,:tabular_classification,6501a95487d6e0440cfb86ca,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,31.71833333333333,240,0,0.4946191234123466,,0.7360471016427966,
58,:autogluon,:tabular_classification,6501a95487d6e0440cfb86ca,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,33.5023,240,0,0.5873615843953297,,0.87405797986118,
59,:gama,:tabular_classification,6501a95487d6e0440cfb86ca,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,216.26749999999998,240,0,0.5926386292502109,,0.8819107970832029,
60,:tpot,:tabular_classification,6501a95487d6e0440cfb86ca,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,240.8383,240,0,0.6484426308311879,,0.9649532264587163,
