"Objekt","Bezeichnung","Z_P_FAMILIE_NEU","Z_P_BAUREIHE_NEU","Z_P_FUNKTION","CH000694","Z_P_SCHALTUNG","Z_P_LEDSYSTEM_1","Z_P_LEDSYSTEM_2","Z_P_LEDSYSTEM_3","Z_P_ANZ_STROMKR","Z_P_LMS","Z_P_USA","Z_P_SCHUTZKLASSE","Z_P_ELEKTRISCHE_SPANNUNG_DC","Z_P_LEISTUNGSREDUZIERER","Z_P_BEMESSUNGSSPANNUNG","Z_P_BEMESSUNGSFREQUENZ","Z_P_LEISTUNGSR_PROZENT","Z_P_ALZ_SCHALTER","Pruefplan"
"10229124","Creavo M39 LW19-03 53-840 ETDD X7 01","444","761","","","51","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000027-01 XPE 1ETDD"
"10229161","Creavo D LW19-03 50-840 ETDD 01","444","763","","","51","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000027-01 XPE 1ETDD"
"10239744","Creavo D2-L LW19-03 42-840 ETDD 01","444","763","","","51","01","YY","YY","01","","","01","","NE","","04","","YY","60000027-01 XPE 1ETDD"
"10239745","Creavo D2-L LW19-03 42-840 ETDD EB3 01","444","763","","","51","01","YY","YY","01","YY","","01","","NE","","04","","YY","60000027-01 XPE 1ETDD"
"10239774","Creavo D3-L LW19-03 53-840 ETDD X7 01","444","763","","","51","01","YY","YY","01","","","01","","NE","","04","","YY","60000027-01 XPE 1ETDD"
"10239877","Creavo H3-L LW19-03 89-840 ETDD 01","444","764","","","51","01","YY","YY","01","","","01","","NE","","04","","YY","60000027-01 XPE 1ETDD"
"10229000","CreavoAct M84 LW19-03 42-8 ETDD8 01","444","761","07","","62","02","03","04","01","YY","","01","","NE","220 - 240 V","04","","YY","60000031-01 XPE 1ETDD-DT8"
"10229041","CreavoAct M57 LW19-03 42-8 ETDD8 01","444","761","07","","62","02","03","04","01","YY","","01","","NE","220 - 240 V","04","","YY","60000031-01 XPE 1ETDD-DT8"
"10229105","CreavoAct M37 LW19-03 42-8 ETDD8 01","444","761","07","","62","02","03","04","01","YY","","01","","NE","220 - 240 V","04","","YY","60000031-01 XPE 1ETDD-DT8"
"10229127","CreavoAct M39 LW19-03 53-8 ETDD8 01","444","761","07","","62","02","03","04","01","YY","","01","","NE","220 - 240 V","04","","YY","60000031-01 XPE 1ETDD-DT8"
"10234609","CreavoAct M17 LW19-03 38-8 ETDD8 01","444","761","07","","62","02","03","04","01","YY","","01","","NE","220 - 240 V","04","","YY","60000031-01 XPE 1ETDD-DT8"
"10234620","CreavoAct M19 LW19-03 48-8 ETDD8 01","444","761","07","","62","02","03","04","01","YY","","01","","NE","220 - 240 V","04","","YY","60000031-01 XPE 1ETDD-DT8"
"50250196","CreavoAct M84 LW19-05 42-8 ETDD8 01","444","761","07","","62","02","03","04","01","YY","","01","","NE","220 - 240 V","04","","YY","60000031-01 XPE 1ETDD-DT8"
"10229155","CreavoAct D LW19-03 42-8 ETDD8 01","444","763","07","","62","02","03","04","01","YY","","01","","NE","220 - 240 V","04","","YY","60000031-01 XPE 1ETDD-DT8"
"10239753","CreavoAct D2-L LW19-03 42-8 ETDD8 01","444","763","","","62","02","03","04","01","","","01","","NE","","04","","YY","60000031-01 XPE 1ETDD-DT8"
"10239777","CreavoAct D3-L LW19-03 53-8 ETDD8 01","444","763","","","62","02","03","04","01","","","01","","NE","","04","","YY","60000031-01 XPE 1ETDD-DT8"
"10239799","CreavoAct D4 LW19-03 50-8 ETDD8 01","444","763","","","62","","","","","","","","","","","","","YY","60000031-01 XPE 1ETDD-DT8"
"10239818","CreavoAct D5 LW19-03 62-8 ETDD8 01","444","763","","","62","","","","","","","","","","","","","YY","60000031-01 XPE 1ETDD-DT8"
"10239835","CreavoAct H2-L LW19-03 46-8 ETDD8 01","444","764","","","62","02","03","04","01","","","01","","NE","","04","","YY","60000031-01 XPE 1ETDD-DT8"
"10239852","CreavoAct H2-L LW19-03 62-8 ETDD8 01","444","764","","","62","02","03","04","01","","","01","","NE","","04","","YY","60000031-01 XPE 1ETDD-DT8"
"10239869","CreavoAct H3-L LW19-03 58-8 ETDD8 01","444","764","","","62","02","03","04","01","","","01","","NE","","04","","YY","60000031-01 XPE 1ETDD-DT8"
"10239886","CreavoAct H3-L LW19-03 83-8 ETDD8 01","444","764","","","62","02","03","04","01","","","01","","NE","","04","","YY","60000031-01 XPE 1ETDD-DT8"
"10228972","CreavoAct M73-TS LW19-03 42-8 ETDD8 01","444","761","07","","62","02","03","04","01","YY","","01","","NE","220 - 240 V","04","","YY","60000032-01 XPE 1ETDD-DT8 XPE"
"10228981","CreavoAct M84-TS LW19-03 42-8 ETDD8 01","444","761","07","","62","02","03","04","01","YY","","01","","NE","220 - 240 V","04","","YY","60000032-01 XPE 1ETDD-DT8 XPE"
"10229015","CreavoAct M46-TS LW19-03 42-8 ETDD8 01","444","761","07","","62","02","03","04","01","YY","","01","","NE","220 - 240 V","04","","YY","60000032-01 XPE 1ETDD-DT8 XPE"
"10229016","CreavoAct M46-TS LWW-03 42-8 ETDD8 01","444","761","07","","62","02","03","04","01","YY","","01","","NE","220 - 240 V","04","","YY","60000032-01 XPE 1ETDD-DT8 XPE"
"10229025","CreavoAct M57-TS LW19-03 42-8 ETDD8 01","444","761","07","","62","02","03","04","01","YY","","01","","NE","220 - 240 V","04","","YY","60000032-01 XPE 1ETDD-DT8 XPE"
"10229057","CreavoAct M48-TS LW19-03 53-8 ETDD8 01","444","761","07","","62","02","03","04","01","YY","","01","","NE","220 - 240 V","04","","YY","60000032-01 XPE 1ETDD-DT8 XPE"
"10229058","CreavoAct M48-TS LWW-03 53-8 ETDD8 01","444","761","07","","62","02","03","04","01","YY","","01","","NE","220 - 240 V","04","","YY","60000032-01 XPE 1ETDD-DT8 XPE"
"10229067","CreavoAct M59-TS LW19-03 53-8 ETDD8 01","444","761","07","","62","02","03","04","01","YY","","01","","NE","220 - 240 V","04","","YY","60000032-01 XPE 1ETDD-DT8 XPE"
"10229068","CreavoAct M59-TS LWW-03 53-8 ETDD8 01","444","761","07","","62","02","03","04","01","YY","","01","","NE","220 - 240 V","04","","YY","60000032-01 XPE 1ETDD-DT8 XPE"
"10228995","Creavo M84 LW19-03 42-840 ETDD X3 01","444","761","","","51","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000035-01 XPE 1ETDD-LiveLink"
"10229036","Creavo M57 LW19-03 42-840 ETDD X3 01","444","761","","","51","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000035-01 XPE 1ETDD-LiveLink"
"10229078","Creavo M59 LW19-03 53-840 ETDD X3 01","444","761","","","51","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000035-01 XPE 1ETDD-LiveLink"
"10229100","Creavo M37 LW19-03 42-840 ETDD X3 01","444","761","","","51","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000035-01 XPE 1ETDD-LiveLink"
"10229122","Creavo M39 LW19-03 53-840 ETDD X3 01","444","761","","","51","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000035-01 XPE 1ETDD-LiveLink"
"10229122","Creavo M39 LW19-03 53-840 ETDD X3 01","444","761","","","51","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000035-01 XPE 1ETDD-LiveLink"
"10229148","Creavo D LW19-03 42-840 ETDD X3 01","444","763","","","51","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000035-01 XPE 1ETDD-LiveLink"
"10239746","Creavo D2-L LW19-03 42-840 ETDD X3 01","444","763","","","51","01","YY","YY","01","31","","01","","NE","","04","","YY","60000035-01 XPE 1ETDD-LiveLink"
"10239770","Creavo D3-L LW19-03 53-840 ETDD X3 01","444","763","","","51","01","YY","YY","01","31","","01","","NE","","04","","YY","60000035-01 XPE 1ETDD-LiveLink"
"10239792","Creavo D4 LW19-03 50-840 ETDD X3 01","444","763","","","51","","","","","","","","","","","","","YY","60000035-01 XPE 1ETDD-LiveLink"
"10239811","Creavo D5 LW19-03 62-840 ETDD X3 01","444","763","","","51","","","","","","","","","","","","","YY","60000035-01 XPE 1ETDD-LiveLink"
"10239828","Creavo H2-L LW19-03 46-840 ETDD X3 01","444","764","","","51","01","YY","YY","01","31","","01","","NE","","04","","YY","60000035-01 XPE 1ETDD-LiveLink"
"10239845","Creavo H2-L LW19-03 71-840 ETDD X3 01","444","764","","","51","01","YY","YY","01","31","","01","","NE","","04","","YY","60000035-01 XPE 1ETDD-LiveLink"
"10239862","Creavo H3-L LW19-03 58-840 ETDD X3 01","444","764","","","51","01","YY","YY","01","31","","01","","NE","","04","","YY","60000035-01 XPE 1ETDD-LiveLink"
"10239879","Creavo H3-L LW19-03 89-840 ETDD X3 01","444","764","","","51","01","YY","YY","01","31","","01","","NE","","04","","YY","60000035-01 XPE 1ETDD-LiveLink"
"10228969","Creavo M73-TS LW19-03 42-840 ETDD X3 01","444","761","","","51","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000289-01 XPE 1ETDD-LiLi XPE"
"10228978","Creavo M84-TS LW19-03 42-840 ETDD X3 01","444","761","","","51","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000289-01 XPE 1ETDD-LiLi XPE"
"10229012","Creavo M46-TS LW19-03 42-840 ETDD X3 01","444","761","","","51","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000289-01 XPE 1ETDD-LiLi XPE"
"10229022","Creavo M57-TS LW19-03 42-840 ETDD X3 01","444","761","","","51","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000289-01 XPE 1ETDD-LiLi XPE"
"10229054","Creavo M48-TS LW19-03 53-840 ETDD X3 01","444","761","","","51","01","YY","YY","01","","","01","","NE","220 - 240 V","04","","YY","60000289-01 XPE 1ETDD-LiLi XPE"
"10229064","Creavo M59-TS LW19-03 53-840 ETDD X3 01","444","761","","","51","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000289-01 XPE 1ETDD-LiLi XPE"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
